match_no,date,team1,team2,predicted_winner,actual_winner,confidence_pct,correct
598015,18-Apr-2013,Pune Warriors,Chennai Super Kings,Chennai Super Kings,Pune Warriors,56.1,0
598016,19-Apr-2013,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,Punjab Kings,54.6,0
598018,20-Apr-2013,Sunrisers Hyderabad,Pune Warriors,Pune Warriors,Sunrisers Hyderabad,51.4,0
598019,21-Apr-2013,Rajasthan Royals,Mumbai Indians,Mumbai Indians,Rajasthan Royals,54.8,0
598020,22-Apr-2013,Chennai Super Kings,Delhi Capitals,Delhi Capitals,Chennai Super Kings,51.2,0
598021,23-Apr-2013,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,51.0,1
598022,24-Apr-2013,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,54.6,1
598023,25-Apr-2013,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore,54.5,1
598024,26-Apr-2013,Mumbai Indians,Delhi Capitals,Delhi Capitals,Delhi Capitals,52.2,1
598025,27-Apr-2013,Pune Warriors,Punjab Kings,Punjab Kings,Punjab Kings,56.8,1
598026,28-Apr-2013,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,56.3,1
598027,01-May-2013,Royal Challengers Bangalore,Pune Warriors,Pune Warriors,Royal Challengers Bangalore,51.5,0
598028,02-May-2013,Punjab Kings,Delhi Capitals,Delhi Capitals,Punjab Kings,50.4,0
598029,03-May-2013,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Mumbai Indians,50.4,1
598030,04-May-2013,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,56.7,1
598031,05-May-2013,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,52.0,1
598032,06-May-2013,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,53.6,1
598033,07-May-2013,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,Mumbai Indians,52.8,0
598034,08-May-2013,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,Chennai Super Kings,60.1,0
598035,09-May-2013,Delhi Capitals,Pune Warriors,Pune Warriors,Delhi Capitals,62.4,0
598036,10-May-2013,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,54.8,1
598037,11-May-2013,Mumbai Indians,Punjab Kings,Punjab Kings,Mumbai Indians,54.4,0
598038,12-May-2013,Chennai Super Kings,Pune Warriors,Pune Warriors,Chennai Super Kings,53.5,0
598039,13-May-2013,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,50.8,1
598040,14-May-2013,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,Delhi Capitals,57.4,1
598041,15-May-2013,Chennai Super Kings,Punjab Kings,Chennai Super Kings,Chennai Super Kings,50.4,1
598042,16-May-2013,Royal Challengers Bangalore,Pune Warriors,Pune Warriors,Royal Challengers Bangalore,55.1,0
598043,17-May-2013,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,52.1,1
598044,18-May-2013,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,50.0,1
598045,19-May-2013,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,Punjab Kings,51.9,1
598046,20-May-2013,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Mumbai Indians,59.6,0
598047,21-May-2013,Pune Warriors,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,52.9,1
598048,22-May-2013,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,50.0,0
598049,23-May-2013,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,52.0,1
598050,24-May-2013,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,Mumbai Indians,56.5,0
598051,25-May-2013,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,Chennai Super Kings,65.0,0
598052,26-May-2013,Punjab Kings,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,56.4,1
